"MIC","OPERATING MIC","OPRT/SGMT","MARKET NAME-INSTITUTION DESCRIPTION","LEGAL ENTITY NAME","LEI","MARKET CATEGORY CODE","ACRONYM","ISO COUNTRY CODE (ISO 3166)","CITY","WEBSITE","STATUS","CREATION DATE","LAST UPDATE DATE","LAST VALIDATION DATE","EXPIRY DATE","COMMENTS"
"MUDX","MUDX","OPRT","MITSUBISHI DIAMOND CROSSING","MITSUBISHI UFJ MORGAN STANLEY SECURITIES CO.,LTD.","O7YCEUWQXFIO1CHULC69","NSPD","MDX","JP","TOKYO","WWW.MUMSS.COM","ACTIVE","20210322","20210322","","","MITSUBISHI DARK."
"TRAX","TRAX","OPRT","MARKETAXESS POST-TRADE LIMITED - APA","MARKETAXESS POST-TRADE LIMITED","213800O7QMOIZFJZ3K44","APPA","","GB","LONDON","WWW.MARKETAXESS.COM","ACTIVE","20170522","20210322","20210322","","APPROVED PUBLICATION ARRANGEMENT."
"TRNL","TRNL","OPRT","MARKETAXESS POST-TRADE B.V. - APA","TRAX NL B.V.","529900ATC8BZSUEI4F96","APPA","","NL","AMSTERDAM","WWW.MARKETAXESS.COM","ACTIVE","20180423","20210322","20210322","","APPROVED PUBLICATION ARRANGEMENT."
"XPET","XPET","OPRT","STOCK EXCHANGE SAINT PETERSBURG","JOIN-STOCK COMPANY EXCHANGE SAINT-PETERSBURG","253400T8G8SXRUHTL526","NSPD","SPBEX","RU","SAINT-PETERSBURG","WWW.SPBEX.RU","ACTIVE","20100524","20210322","20210322","",""
"LEVL","LEVL","OPRT","LEVEL ATS","EBX LLC","","ATSS","LEVEL","US","BOSTON","WWW.LEVELATS.COM","ACTIVE","20070226","20070226","",,""
"EBXV","LEVL","SGMT","LEVEL ATS - VWAP CROSS","EBX LLC","","ATSS","LEVEL","US","BOSTON","WWW.LEVELATS.COM","ACTIVE","20210322","20210322","",,""
"FXRS","RMTF","SGMT","FINANCIAL AND RISK TRANSACTIONS SERVICES IRELAND LIMITED - FXALL RFS MTF","FINANCIAL AND RISK TRANSACTIONS SERVICES IRELAND LIMITED","635400MQZIPRVPDDZK76","MLTF","FRTSIL","IE","DUBLIN","WWW.REFINITIV.COM","ACTIVE","20210322","20210322","","","FXALL REQUEST FOR STREAM MULTILATERAL TRADING FACILITY."
"FXPS","THRE","SGMT","REFINITIV SEF REQUEST FOR STREAM","REFINITIV US SEF LLC","549300WQWDPFSMQ8I087","SEFS","RSEF (RFS)","US","NEW YORK","WWW.REFINITIV.COM","ACTIVE","20210322","20210322","","","REFINITIV SWAP EXECUTION FACILITY RFS SEGMENT."
"XBIS","XBAB","SGMT","BARBADOS STOCK EXCHANGE - INTERNATIONAL SECURITIES MARKET","BARBADOS STOCK EXCHANGE","","NSPD","ISM","BB","BRIDGETOWN","WWW.BSE.COM.BB","ACTIVE","20210322","20210322","","",""
"STRM","STRM","OPRT","PURESTREAM","PURESTREAM LLC","","NSPD","","US","NEW YORK","WWW.PURESTREAM.TECH","ACTIVE","20210222","20210222","20210222","",""
"ABNC","ABNC","OPRT","ABN AMRO CLEARING BANK","ABN AMRO CLEARING BANK N.V.","G8ZTNESVNKW4NN761W05","SINT","AACB SI","NL","AMSTERDAM","WWW.ABNAMROCLEARING.COM","ACTIVE","20210222","20210222","20210222","","SYSTEMATIC INTERNALISER."
"BNPC","BNPC","OPRT","BNPP CORTEX ATS","BNP PARIBAS SECURITIES CORP.","RCNB6OTYUAMMP879YW96","ATSS","BNPX","US","NEW YORK","HTTPS://USA.BNPPARIBAS/EN/","ACTIVE","20210222","20210222","20210222","","ALTERNATIVE TRADING SYSTEM."
"PBGR","PBGR","OPRT","PIRAEUS BANK","PIRAEUS BANK S.A.","213800OYHR1MPQ5VJL60","SINT","","GR","ATHENS","WWW.PIRAEUSBANK.GR","ACTIVE","20190722","20210222","20210222","","SYSTEMATIC INTERNALISER FOR BONDS EXCLUDED ETC AND ETN."
"SIDX","SIDX","OPRT","SCOTIABANK (IRELAND) DESIGNATED ACTIVITY COMPANY","SCOTIABANK (IRELAND) DESIGNATED ACTIVITY COMPANY","747DLM6L5TO7LXZY5T60","SINT","SIDAC","IE","DUBLIN","WWW.SCOTIABANK.COM","ACTIVE","20210222","20210222","20210222","","SYSTEMATIC INTERNALISER."
"SIFX","SIFX","OPRT","SIEGE FX LIMITED","SIEGE FX LIMITED","254900BS9K61FESAAY23","OTHR","","GB","LONDON","WWW.SIEGEFX.COM","ACTIVE","20210222","20210222","20220221","",""
"TEUR","TEUR","OPRT","TRADITION ESPANA OTF","TRADITION FINANCIAL SERVICES ESPANA SOCIEDAD DE VALORES SA","5493006UOQCUGJ33L287","OTFS","","ES","MADRID","WWW.TRADITION.COM","ACTIVE","20210222","20210222","20210222","","ORGANISED TRADING FACILITY."
"TPEE","TPIC","SGMT","TP ICAP EU - MTF - EQUITY AND ETF","TP ICAP (EUROPE) SA","213800R54EFFINMY1P02","MLTF","","FR","PARIS","HTTPS://REGULATORY.TPICAP.COM/TPICAP/EU/TPICAPEUMTF","ACTIVE","20210222","20210222","20210222","",""
